Geneid,C_1,C_2,C_3,T_1,T_2,T_3
NCU10129,15,37,30,160,190,226
NCU09901,14,39,25,15,46,31
NCU09903,17,14,14,2,8,10
NCU11134,219,358,329,311,403,317
NCU09904,0,0,0,2,2,3
NCU14001,183,276,277,1556,2097,1925
NCU09906,4308,7046,6060,3819,4780,3989
NCU09907,2979,4815,5167,18225,15549,9872
NCU09908,687,1060,967,1500,1731,1407
NCU09909,338,563,454,5406,7147,5821
NCU09910,13,20,7,26,42,32
NCU09911,831,1484,1567,3458,4287,3795
NCU09912,287,515,530,1078,1420,1166
NCU09913,478,729,646,2933,4136,3292
NCU09914,737,1137,1044,18298,24201,20277
NCU10501,5,5,9,2,0,0
NCU08049,577,1018,857,2218,2669,2154
NCU08050,626,991,924,929,1344,1179
NCU08051,5806,9584,9743,20328,26238,21106
NCU16303,804,1407,1400,2549,3167,2822
NCU08052,1259,2216,2128,2477,3514,2971
NCU08053,590,860,826,3019,4125,3233
NCU08054,198,284,264,986,1250,953
NCU08055,868,1365,1250,2713,3976,3452
NCU08056,0,0,0,0,0,0
NCU08057,88,177,145,106,156,121
NCU08058,359,490,483,1097,1379,1117
NCU08059,686,1084,978,1764,2242,1986
NCU08060,1217,2043,2081,2170,2551,2307
NCU08062,111,224,192,608,695,513
NCU08063,600,919,789,2057,2221,1700
NCU08064,1071,1556,1616,2677,3503,2613
NCU08065,190,312,317,249,392,397
NCU08066,570,862,882,2813,3452,2949
NCU10696,1479,2421,2256,5149,6610,5587
NCU08067,1293,1987,1840,4083,5486,4116
NCU08068,983,1578,1227,2313,3163,2959
NCU08069,835,1159,1202,3531,3922,3050
NCU08070,697,1059,857,1544,1755,1344
NCU08071,632,980,1021,967,1319,917
NCU15001,29,56,31,141,183,122
NCU08072,932,1652,1399,2396,3098,2558
NCU08073,805,1193,1253,1089,1580,1312
NCU08074,41126,67560,71302,20280,25817,21271
NCU08075,1337,1839,1738,1142,1551,1384
NCU08076,3210,5567,5125,7749,10116,8197
NCU08077,445,725,697,1476,1879,1645
NCU08078,294,388,300,2818,3901,3403
NCU08079,2699,4231,3701,5604,7612,6383
NCU08080,3,10,6,0,0,0
NCU16305,1911,3091,2875,5593,7399,6516
NCU08081,101,171,192,349,480,325
NCU08083,614,1110,836,760,1118,895
NCU08084,889,1219,1073,4673,6427,5346
NCU08085,761,1218,1062,2234,2990,2643
NCU08086,3019,4661,4335,6525,8513,7175
NCU08087,537,722,602,3495,4233,3427
NCU08089,1903,3131,2744,3917,5203,4078
NCU16306,1428,2281,2422,2357,3092,2589
NCU08090,1197,1853,1947,2764,3507,2957
NCU10622,0,2,11,10,5,1
NCU08091,5489,8908,8064,37777,52400,42097
NCU08092,3097,5250,4678,2579,3580,3187
NCU08093,37,43,38,286,531,308
NCU08094,10475,17437,16541,20617,27230,22203
NCU08095,333,427,492,1907,2576,1968
NCU08096,1972,3230,3278,7808,9980,7222
NCU16307,949,1419,1444,7667,9437,8086
NCU08097,370,601,539,3227,3809,3362
NCU08098,103,191,157,546,528,456
NCU08099,0,0,0,0,0,0
NCU08100,0,0,0,0,0,0
NCU08101,0,0,0,0,0,0
NCU15002,0,0,0,0,0,0
NCU15003,0,0,0,0,0,0
NCU08102,0,0,0,0,0,0
NCU08103,684,1021,850,3071,4681,4751
NCU08105,543,860,804,1354,1690,1522
NCU08106,275,587,591,341,409,406
NCU08107,972,1606,1451,5080,6316,5410
NCU08109,433,775,661,5349,7199,4883
NCU08110,1222,1922,1791,3117,4255,3558
NCU08111,339,441,408,823,1103,819
NCU08112,37,63,30,148,302,262
NCU08113,558,909,773,1880,2710,2266
NCU08114,1035,1950,1811,1715,2247,1888
NCU08115,2747,4827,4809,4378,5457,4506
NCU08116,337,523,583,433,626,456
NCU08117,523,851,770,1190,1537,1220
NCU08118,748,1220,1194,1535,1778,1688
NCU08119,290,483,497,190,201,249
NCU08120,350,589,572,268,477,326
NCU08121,94,174,150,291,269,236
NCU10647,149,185,100,2361,2696,2022
NCU16310,2193,3324,2961,9467,10553,8988
NCU07509,132,199,182,466,619,567
NCU07508,371,673,635,699,750,607
NCU16311,417,626,625,642,751,702
NCU07507,2342,3659,3388,12313,15907,12916
NCU07506,803,1401,1242,1236,1863,1790
NCU07505,354,552,580,769,939,847
NCU07504,357,708,549,1749,2076,1843
NCU07503,14592,22577,20674,26899,37417,28855
NCU07502,4163,6645,6222,9000,11862,9635
NCU15004,628,994,932,1396,1746,1399
NCU07501,1423,2383,2010,908,1235,1110
NCU07500,478,745,679,1974,2630,2252
NCU07499,27,46,43,491,568,482
NCU07498,1934,3154,3003,2158,2909,2118
NCU07497,1425,2199,1805,23170,31236,25415
NCU07496,5,8,12,3,8,8
NCU07495,3123,5379,4923,1132,1620,1411
NCU15005,7010,11735,10510,15281,20977,18442
NCU07494,2330,3641,3295,2616,3652,2932
NCU07493,868,1235,1268,874,1198,974
NCU07492,293,493,401,572,864,708
NCU07491,402,679,702,750,929,749
NCU07489,723,1260,1190,2607,3963,3446
NCU16314,32,84,58,53,104,72
NCU15006,618,1081,967,2857,4396,3079
NCU07487,138,188,124,566,909,668
NCU07486,333,454,281,1580,1800,1416
NCU07485,944,1593,1473,916,1212,1191
NCU07484,726,1170,1038,2445,3316,2748
NCU07483,561,931,943,70,64,59
