Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
NCU10129,2213,1434,1196,3697,3708,5512,303,294,338
NCU09901,878,729,633,1147,945,997,1059,1057,622
NCU09903,1806,2810,1738,2814,2134,2153,7797,8078,2124
NCU11134,10,7,1,4,1,2,2,8,0
NCU09904,451,1755,586,242,295,121,1098,2861,1479
NCU14001,3,12,5,0,5,9,5,0,0
NCU09906,2202,5765,2027,917,838,537,4639,11493,4991
NCU09907,1,3,1,40,53,21,1,0,0
NCU09908,0,0,0,0,0,0,0,0,0
NCU09909,21,25,17,159,135,60,644,614,699
NCU09910,722,1083,843,1042,1016,1020,492,656,646
NCU09911,635,530,797,1649,1098,1338,1610,1541,1133
NCU09912,1297,977,1428,1920,1189,1895,705,892,707
NCU09913,41,73,87,154,180,138,61,100,66
NCU09914,15,17,23,39,47,22,46,59,43
NCU10501,3,0,0,8,4,3,1,6,6
NCU08049,127,156,147,490,342,502,217,244,232
NCU08050,25,27,40,136,124,120,118,103,96
NCU08051,547,633,559,1333,1045,1040,706,855,894
NCU16303,0,0,0,0,0,0,0,0,0
NCU08052,107,132,129,310,340,303,411,1147,1231
NCU08053,1913,2875,2133,1371,1384,1268,1592,1782,1493
NCU08054,2202,3204,1974,1300,1668,1436,1648,2558,1873
NCU08055,14887,31876,17183,15344,18782,16746,22628,40139,29135
NCU08056,470,1193,531,1989,1407,1427,368,426,372
NCU08057,742,323,716,1594,1185,2189,213,234,258
NCU08058,51,74,59,198,146,166,62,35,39
NCU08059,0,0,0,0,0,1,0,0,0
NCU08060,36,57,31,120,171,94,128,171,78
NCU08062,70,104,39,241,210,168,114,199,82
NCU08063,923,1273,853,1949,1374,1668,823,1067,886
NCU08064,5543,4730,5151,5644,4444,9649,710,977,986
NCU08065,448,502,632,818,714,775,407,448,370
NCU08066,3868,4737,5498,5297,4566,6465,3819,3922,4230
NCU10696,611,656,640,719,589,687,483,492,457
NCU08067,1848,3178,2201,2683,2994,2330,1730,2146,2503
NCU08068,292,289,258,306,235,236,279,320,165
NCU08069,83,83,107,147,110,95,119,149,107
NCU08070,2416,2228,2488,2615,2467,3551,2468,3528,3151
NCU08071,826,819,885,1043,874,1150,1404,1114,813
NCU15001,0,0,0,0,0,0,0,4,0
NCU08072,4269,6092,4981,4541,4165,4983,3202,4433,4172
NCU08073,4,14,9,4,17,9,6,14,8
NCU08074,1,1,2,0,1,1,0,3,0
NCU08075,2,4,0,6,5,4,0,3,3
NCU08076,566,753,593,763,823,838,438,667,787
NCU08077,0,0,1,2,3,4,4,0,4
NCU08078,0,3,0,1,0,0,0,0,0
NCU08079,0,0,0,3,5,0,0,2,0
NCU08080,0,0,0,0,1,0,0,0,0
NCU16305,0,0,0,2,3,0,1,0,2
NCU08081,0,0,0,0,0,0,0,0,0
NCU08083,0,0,0,0,0,0,0,0,0
NCU08084,0,0,0,0,0,0,0,0,0
NCU08085,0,0,0,0,1,1,2,0,0
NCU08086,0,0,0,0,0,0,0,0,0
NCU08087,35,36,58,79,83,52,136,52,44
NCU08089,18,46,68,36,46,27,22,14,29
NCU16306,1018,2333,2270,874,1030,1026,632,722,698
NCU08090,1541,3279,2985,1094,1493,1383,933,1415,1115
NCU10622,268,293,248,430,289,336,116,89,63
NCU08091,916,1150,931,1012,1254,915,296,254,384
NCU08092,4333,5090,4240,3694,5400,4468,1745,2329,2205
NCU08093,4546,5086,5243,4344,4789,4116,4928,6153,5153
NCU08094,272,204,304,303,381,285,506,613,512
NCU08095,6843,5030,13087,4766,4424,7657,1346,2655,2563
NCU08096,43,33,69,89,88,103,16,42,39
NCU16307,2,2,2,9,15,15,1,1,9
NCU08097,24,65,35,111,138,91,39,66,56
NCU08098,74,102,80,138,152,89,138,166,177
NCU08099,68,66,63,61,71,37,143,102,170
NCU08100,34,21,35,26,25,23,65,87,100
NCU08101,0,0,0,0,0,0,5,0,0
NCU15002,0,0,0,0,0,0,0,0,0
NCU15003,0,0,0,0,0,0,0,0,0
NCU08102,0,0,0,0,0,0,0,0,0
NCU08103,0,0,0,0,0,0,0,0,0
NCU08105,0,0,0,0,1,0,0,0,0
NCU08106,0,0,0,0,0,0,0,0,0
NCU08107,0,0,0,0,0,0,0,0,0
NCU08109,1,3,1,9,14,9,1,2,0
NCU08110,2891,2795,2845,3609,2967,3709,2844,3288,2354
NCU08111,499,452,443,1157,964,1032,1103,1002,618
NCU08112,223,305,198,616,627,602,384,563,270
NCU08113,52,380,319,677,1107,303,40,52,25
NCU08114,15231,50284,27677,45326,68695,28371,206,147,240
NCU08115,377,660,524,846,893,566,333,439,321
NCU08116,0,8,2,2,9,3,0,0,1
NCU08117,241,320,167,310,278,242,441,395,258
NCU08118,1347,1732,943,1077,1089,858,947,1553,1266
NCU08119,2706,2341,2203,2950,2227,2869,2429,2740,1971
NCU08120,1107,930,1001,1864,1612,2032,1752,1483,1107
NCU08121,382,345,321,572,432,497,1023,829,416
NCU10647,1230,1475,1247,1994,1786,2071,2071,2569,2592
NCU16310,0,0,2,0,0,0,0,0,0
NCU07509,441,454,515,402,458,420,561,492,428
NCU07508,14,20,21,15,24,14,4,11,15
NCU16311,36,28,32,105,66,98,33,76,60
NCU07507,56,38,43,61,68,50,57,38,37
NCU07506,1199,1150,1182,1381,1401,1222,1043,922,1109
NCU07505,939,678,546,1117,859,1015,921,966,593
NCU07504,849,995,701,1421,1300,1069,827,903,918
NCU07503,413,239,299,2280,1720,1893,2457,1613,1868
NCU07502,400,501,445,846,838,966,556,726,807
NCU15004,0,1,0,0,0,0,1,0,0
NCU07501,0,0,0,0,2,0,1,0,0
NCU07500,0,0,2,0,0,0,0,0,0
NCU07499,4,1,5,5,5,14,4,4,5
NCU07498,1122,763,1856,1884,1421,3147,1485,1329,1951
NCU07497,203,171,267,294,237,348,173,222,302
NCU07496,290,370,339,809,868,980,213,334,326
NCU07495,3357,2409,3023,8071,6609,11634,1377,1199,1570
NCU15005,0,0,0,0,0,0,0,0,0
NCU07494,390,324,319,208,374,229,303,300,364
NCU07493,2109,2038,2350,2379,2450,2591,1720,1832,1430
NCU07492,278,349,364,298,422,360,649,721,548
NCU07491,1843,1939,1652,1773,2013,1600,8200,9404,19968
NCU07489,2875,3587,2725,4234,3826,4064,6182,8484,7247
NCU16314,0,0,0,0,0,0,0,0,0
NCU15006,0,0,0,1,0,0,0,0,0
NCU07487,551,1317,2086,3687,8769,3846,47,19,61
NCU07486,42,38,36,59,41,43,17,18,13
NCU07485,314,384,311,447,479,277,118,144,114
NCU07484,1129,2010,1476,2739,3034,1402,47,113,57
NCU07483,1170,1908,677,769,803,545,692,872,496
NCU07482,590,491,418,681,571,548,628,569,317
NCU07481,870,1776,1112,804,781,665,834,1118,699
NCU07480,1,3,0,7,0,0,0,0,0
NCU07479,38,26,33,19,37,33,37,27,37
NCU07478,477,477,569,1612,1289,1617,295,267,283
NCU07477,1230,2080,1162,1025,1595,1051,558,781,993
NCU07476,1159,750,1006,562,385,757,453,431,326
NCU07475,51,3,43,8,2,13,11,7,7
NCU07474,5082,5726,5824,3286,3087,3429,2697,3561,3448
NCU07473,2051,2341,1793,1097,1364,1045,2954,3596,3107
NCU07472,823,1077,719,612,670,501,637,750,733
NCU07471,2588,2973,2492,1413,1670,1395,1816,2056,1503
NCU07468,1644,2744,1397,351,623,394,2229,2912,2224
NCU07467,4880,4140,3749,1311,1421,1333,1709,2219,2048
NCU07466,357,269,286,332,297,346,277,326,348
NCU07465,9032,5744,8588,10278,7844,11115,4254,5565,5771
NCU07464,35,47,47,131,158,177,16,12,33
NCU07463,39,63,77,235,247,199,34,19,71
NCU07462,0,0,2,2,3,6,0,5,5
NCU07461,39,62,45,114,107,76,63,53,44
NCU07460,941,1375,647,655,591,519,718,1053,666
NCU07459,3585,3502,1443,2614,2366,2040,4678,4865,3313
NCU16316,19,44,38,32,81,44,18,20,66
NCU07458,2904,2887,3078,1473,2070,1445,2445,3935,3658
NCU07457,239,241,173,412,332,325,84,171,195
NCU07456,565,625,529,656,784,633,619,903,764
NCU07455,52,81,52,154,154,141,54,87,95
NCU07454,463,541,468,325,663,270,717,998,1140
NCU07453,587,674,584,776,1261,971,408,666,684
NCU07452,81,70,124,2732,1718,3096,195,135,226
NCU07451,1723,1525,1231,4159,2714,2962,2088,2726,2087
NCU07450,38,21,19,24,54,21,17,30,23
NCU07449,39,75,88,4037,5953,4758,33,21,84
NCU07448,13,45,23,208,284,187,1,0,0
NCU07447,950,1431,1097,1744,1386,1541,708,925,821
NCU07446,4881,4480,4390,3715,4031,3972,3887,5399,4184
NCU07445,248,195,159,382,226,362,200,253,184
NCU07443,3439,4719,3617,4376,4063,4722,2568,3715,3074
NCU07442,1144,1724,952,1025,938,793,513,708,605
NCU07441,2758,2066,1773,2568,1761,6317,140,89,74
NCU07440,981,976,865,1104,1069,1370,571,864,768
NCU07439,7001,5021,6621,6379,6175,8064,3540,4465,5239
NCU07438,2229,2214,1958,3183,2168,2793,1782,2304,2250
NCU07437,8828,9074,8131,11099,9456,10322,7772,8846,6833
