GO	GENE	CLASS
GO:0055114	NCU11424	BP
GO:0016702	NCU11424	MF
GO:0005515	NCU11426	MF
GO:0004190	NCU11426	MF
GO:0006508	NCU11426	BP
GO:0005515	NCU11427	MF
GO:0005515	NCU10539	MF
GO:0004190	NCU10907	MF
GO:0006508	NCU10907	BP
GO:0003824	NCU11417	MF
GO:0005524	NCU10809	MF
GO:0005515	NCU10311	MF
GO:0005732	NCU10352	CC
GO:0000398	NCU10352	BP
GO:0016020	NCU11414	CC
GO:0055085	NCU11414	BP
GO:0046873	NCU11414	MF
GO:0030001	NCU11414	BP
GO:0006629	NCU11415	BP
GO:0004435	NCU11415	MF
GO:0035556	NCU11415	BP
GO:0007165	NCU11415	BP
GO:0035556	NCU11415	BP
GO:0006629	NCU11415	BP
GO:0008081	NCU11415	MF
GO:0020037	NCU10285	MF
GO:0055114	NCU10285	BP
GO:0005506	NCU10285	MF
GO:0016705	NCU10285	MF
GO:0016787	NCU11405	MF
GO:0030170	NCU11406	MF
GO:0030151	NCU11406	MF
GO:0003824	NCU11406	MF
GO:0006226	NCU10893	BP
GO:0004170	NCU10893	MF
GO:0046081	NCU10893	BP
GO:0000287	NCU10893	MF
GO:0008478	NCU10351	MF
GO:0009443	NCU10351	BP
GO:0016021	NCU11402	CC
GO:0005783	NCU11402	CC
GO:0072546	NCU11402	CC
GO:0005515	NCU11053	MF
GO:0070682	NCU11053	BP
GO:0050660	NCU09163	MF
GO:0071949	NCU09163	MF
GO:0016491	NCU09163	MF
GO:0055114	NCU09163	BP
GO:0050660	NCU09163	MF
GO:0016757	NCU11399	MF
GO:0055114	NCU11395	BP
GO:0016491	NCU11395	MF
GO:0008270	NCU11395	MF
GO:0055114	NCU11395	BP
GO:0032220	NCU10610	BP
GO:0016020	NCU10610	CC
GO:0003779	NCU10777	MF
GO:0071933	NCU10777	MF
GO:0034316	NCU10777	BP
GO:0042025	NCU10501	CC
GO:0008270	NCU10501	MF
GO:0000981	NCU10501	MF
GO:0006355	NCU10501	BP
GO:0005869	NCU10696	CC
GO:0061640	NCU10696	BP
GO:0005634	NCU10622	CC
GO:0008033	NCU10622	BP
GO:0004526	NCU10622	MF
GO:0003755	NCU10388	MF
GO:0006457	NCU10388	BP
GO:0000413	NCU10388	BP
GO:0003755	NCU10388	MF
GO:0003755	NCU10388	MF
GO:0004163	NCU11381	MF
GO:0019287	NCU11381	BP
GO:0005829	NCU11381	CC
GO:0005524	NCU11381	MF
GO:0008299	NCU11381	BP
GO:0016831	NCU11381	MF
GO:0071949	NCU08173	MF
GO:0016491	NCU11382	MF
GO:0003824	NCU10400	MF
GO:0004630	NCU10400	MF
GO:0048017	NCU10400	BP
GO:0006654	NCU10400	BP
GO:0051082	NCU11102	MF
GO:0031072	NCU11102	MF
GO:0051082	NCU11102	MF
GO:0006457	NCU11102	BP
GO:0051287	NCU11370	MF
GO:0050661	NCU11370	MF
GO:0055114	NCU11370	BP
GO:0016491	NCU11370	MF
GO:0055114	NCU11370	BP
GO:0019915	NCU11367	BP
GO:0005789	NCU11367	CC
GO:0003877	NCU11368	MF
GO:0009117	NCU11368	BP
GO:0005524	NCU11368	MF
GO:0003877	NCU11368	MF
GO:0008168	NCU11362	MF
GO:0071949	NCU11363	MF
GO:0003824	NCU11364	MF
GO:0003824	NCU11365	MF
GO:0003824	NCU11356	MF
GO:0009058	NCU11356	BP
GO:0005515	NCU11357	MF
GO:0016567	NCU11357	BP
GO:0004842	NCU11357	MF
GO:0000974	NCU11357	CC
GO:0061630	NCU11357	MF
GO:0006281	NCU11357	BP
GO:0000398	NCU11357	BP
GO:0055114	NCU10387	BP
GO:0050660	NCU10387	MF
GO:0050661	NCU10387	MF
GO:0004499	NCU10387	MF
GO:0050661	NCU10387	MF
GO:0055114	NCU10387	BP
GO:0050660	NCU10387	MF
GO:0005975	NCU11353	BP
GO:0016773	NCU11353	MF
GO:0042732	NCU11353	BP
GO:0004856	NCU11353	MF
GO:0022857	NCU11347	MF
GO:0055085	NCU11347	BP
GO:0044237	NCU11341	BP
GO:0016787	NCU11341	MF
GO:0016021	NCU11342	CC
GO:0022857	NCU11342	MF
GO:0055085	NCU11342	BP
GO:0022857	NCU11342	MF
GO:0020037	NCU10344	MF
GO:0055114	NCU10344	BP
GO:0005506	NCU10344	MF
GO:0016705	NCU10344	MF
GO:0007034	NCU10430	BP
GO:0005515	NCU10521	MF
GO:0005975	NCU10436	BP
GO:0004553	NCU10436	MF
GO:0004672	NCU11331	MF
GO:0006468	NCU11331	BP
GO:0005524	NCU11331	MF
GO:0055114	NCU08336	BP
GO:0022900	NCU08336	BP
GO:0050660	NCU08336	MF
GO:0016627	NCU08336	MF
GO:0006099	NCU08336	BP
GO:0055114	NCU08336	BP
GO:0050660	NCU08336	MF
GO:0016627	NCU08336	MF
GO:0016491	NCU08336	MF
GO:0055114	NCU08336	BP
GO:0016491	NCU11325	MF
GO:0055114	NCU11325	BP
GO:0008270	NCU11325	MF
GO:0016491	NCU11325	MF
GO:0005515	NCU11322	MF
GO:0022857	NCU10512	MF
GO:0055085	NCU10512	BP
GO:0022857	NCU10675	MF
GO:0016020	NCU10675	CC
GO:0055085	NCU10675	BP
GO:0046854	NCU10397	BP
GO:0048015	NCU10397	BP
GO:0016301	NCU10397	MF
GO:0016773	NCU10397	MF
GO:0070072	NCU11319	BP
GO:0046872	NCU11320	MF
GO:0016813	NCU11320	MF
GO:0046872	NCU11320	MF
GO:0008608	NCU10897	BP
GO:0042729	NCU10897	CC
GO:0072686	NCU10897	CC
GO:0055085	NCU10721	BP
GO:0072321	NCU11311	BP
GO:0005758	NCU11311	CC
GO:0005787	NCU11313	CC
GO:0016021	NCU11313	CC
GO:0006465	NCU11313	BP
GO:0005787	NCU11313	CC
GO:0008061	NCU10651	MF
GO:0005975	NCU10651	BP
GO:0016810	NCU10651	MF
GO:0005975	NCU10651	BP
GO:0003824	NCU10651	MF
GO:0016020	NCU11309	CC
GO:0016021	NCU11109	CC
GO:0005789	NCU11109	CC
GO:0015031	NCU10618	BP
GO:0016021	NCU11040	CC
GO:0020037	NCU11306	MF
GO:0055114	NCU11306	BP
GO:0005506	NCU11306	MF
GO:0016705	NCU11306	MF
GO:0055114	NCU11306	BP
GO:0016705	NCU11306	MF
GO:0030026	NCU11307	BP
GO:0005384	NCU11307	MF
GO:0004842	NCU11300	MF
GO:0005680	NCU11300	CC
GO:0022857	NCU10910	MF
GO:0055085	NCU10910	BP
GO:0022857	NCU10910	MF
GO:0016021	NCU10910	CC
GO:0022857	NCU10910	MF
GO:0055085	NCU10910	BP
GO:0016491	NCU10865	MF
GO:0004181	NCU11129	MF
GO:0016787	NCU11129	MF
GO:0016491	NCU11286	MF
GO:0004601	NCU11286	MF
GO:0020037	NCU11286	MF
GO:0006979	NCU11286	BP
GO:0055114	NCU11286	BP
GO:0016020	NCU10276	CC
GO:0055085	NCU10276	BP
GO:0016491	NCU11289	MF
GO:0055114	NCU11289	BP
GO:0003723	NCU10519	MF
GO:0003676	NCU10519	MF
GO:0006397	NCU10519	BP
GO:0005515	NCU10905	MF
GO:0000289	NCU10733	BP
GO:0004535	NCU10733	MF
GO:0031251	NCU10733	CC
GO:0006397	NCU10733	BP
GO:0005515	NCU10733	MF
GO:0003676	NCU10733	MF
GO:0005515	NCU10360	MF
GO:0046514	NCU10359	BP
GO:0017040	NCU10359	MF
GO:0016491	NCU11278	MF
GO:0003824	NCU11278	MF
GO:0016491	NCU11278	MF
GO:0055114	NCU11278	BP
GO:0010181	NCU11278	MF
GO:0005515	NCU11138	MF
GO:0006526	NCU10468	BP
GO:0004358	NCU10468	MF
GO:0005524	NCU10467	MF
GO:0006260	NCU10467	BP
GO:0003677	NCU10467	MF
GO:0030942	NCU10927	MF
GO:0005786	NCU10927	CC
GO:0005047	NCU10927	MF
GO:0008312	NCU10927	MF
GO:0006614	NCU10927	BP
GO:0003723	NCU10927	MF
GO:0005515	NCU10273	MF
GO:0016746	NCU11282	MF
GO:0044255	NCU11282	BP
GO:0008374	NCU11282	MF
GO:0005515	NCU11283	MF
GO:0022857	NCU10314	MF
GO:0055085	NCU10314	BP
GO:0022857	NCU10314	MF
